!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E22'  TableTitle=''  Document='MGluR'														
!TimePoint	!Time	>Y11	SD_Y11	>Y12	SD_Y12	>Y13	SD_Y13	>Y14	SD_Y14	>Y8	SD_Y8	>Y9	SD_Y9	>Y15	SD_Y15
E22T0	0	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T1	5	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T2	10	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T3	15	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T4	20	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T5	25	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T6	30	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T7	35	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T8	40	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T9	45	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T10	50	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T11	55	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T12	60	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T13	65	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T14	70	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T15	75	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T16	80	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T17	85	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T18	90	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T19	95	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T20	100	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T21	105	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T22	110	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T23	115	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T24	120	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T25	125	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T26	130	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T27	135	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T28	140	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T29	145	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T30	150	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T31	155	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T32	160	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T33	165	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T34	170	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T35	175	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T36	180	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T37	185	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T38	190	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T39	195	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T40	200	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T41	205	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T42	210	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T43	215	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T44	220	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T45	225	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T46	230	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T47	235	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T48	240	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T49	245	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T50	250	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T51	255	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T52	260	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T53	265	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T54	270	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T55	275	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T56	280	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T57	285	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T58	290	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T59	295	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T60	300	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T61	305	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T62	310	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T63	315	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T64	320	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T65	325	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T66	330	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T67	335	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T68	340	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T69	345	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T70	350	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T71	355	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T72	360	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T73	365	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T74	370	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T75	375	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T76	380	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T77	385	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T78	390	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T79	395	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T80	400	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T81	405	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T82	410	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T83	415	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T84	420	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T85	425	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T86	430	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
E22T87	435	69743	6974.3	2490.8086	249.0809	1992.6469	199.2647	1156.3267	115.6327	1494.49	149.449	996.3267	99.6327	498.1633	49.8163
