!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E12'  TableTitle=''  Document='MGluR'														
!TimePoint	!Time	>Y8	SD_Y8	>Y10	SD_Y10										
E12T85	85	0.00023919	0.001	0.1968	0.065088								0.80489		
E12T86	86	0.00093622	0.001	0.20962	0.065002								0.80813		
E12T87	87	0.0027744	0.0023699	0.22225	0.064891								0.81133		
E12T88	88	0.0066428	0.0059316	0.23468	0.064767								0.81447		
E12T89	89	0.013386	0.01144	0.24691	0.064644								0.81755		
E12T90	90	0.023334	0.017568	0.25894	0.064527								0.82059		
E12T91	91	0.036061	0.022787	0.27078	0.064418								0.82357		
E12T92	92	0.050628	0.026394	0.28243	0.06432								0.8265		
E12T93	93	0.066091	0.028523	0.29388	0.06423								0.82938		
E12T94	94	0.081777	0.029714	0.30515	0.064149								0.83222		
E12T95	95	0.097356	0.030447	0.31624	0.064076								0.83501		
E12T96	96	0.11271	0.031006	0.32714	0.06401								0.83775		
E12T97	97	0.1278	0.031502	0.33787	0.063948								0.84044		
E12T98	98	0.14264	0.031982	0.34842	0.063891								0.84309		
E12T99	99	0.15722	0.032461	0.3588	0.063836								0.84569		
E12T100	100	0.17155	0.032947	0.36901	0.063784						1				
E12T101	101	0.18563	0.033441	0.37906	0.063732						2				
E12T102	102	0.19947	0.033943	0.38894	0.063681						3				
E12T103	103	0.21307	0.034451	0.39866	0.063628						4				
E12T104	104	0.22643	0.034963	0.40822	0.063574						5				
E12T105	105	0.23957	0.035476	0.41763	0.063517						6				
E12T106	106	0.25248	0.035989	0.42688	0.063458						7				
E12T107	107	0.26516	0.036499	0.43599	0.063395						8				
E12T108	108	0.27763	0.037004	0.44495	0.063327						9				
E12T109	109	0.28989	0.037501	0.45376	0.063256						10				
E12T110	110	0.30193	0.037988	0.46243	0.063179						11				
E12T111	111	0.31376	0.038465	0.47095	0.063096						12				
E12T112	112	0.3254	0.03893	0.47934	0.063008						13				
E12T113	113	0.33683	0.039382	0.4876	0.062914						14				
E12T114	114	0.34806	0.039819	0.49572	0.062814						15				
E12T115	115	0.35911	0.040241	0.50371	0.062707						16				
E12T116	116	0.36996	0.040647	0.51157	0.062594						17				
E12T117	117	0.38062	0.041037	0.5193	0.062474						18				
E12T118	118	0.39111	0.04141	0.52691	0.062347						19				
E12T119	119	0.40141	0.041765	0.53439	0.062213						20				
E12T120	120	0.41154	0.042104	0.54175	0.062072						21				
E12T121	121	0.42149	0.042424	0.549	0.061924						22				
E12T122	122	0.43127	0.042727	0.55613	0.06177						23				
E12T123	123	0.44088	0.043013	0.56314	0.061608						24				
E12T124	124	0.45033	0.043281	0.57004	0.061439						25				
E12T125	125	0.45962	0.043531	0.57683	0.061264						26				
E12T126	126	0.46875	0.043764	0.58351	0.061082						27				
E12T127	127	0.47772	0.04398	0.59008	0.060893						28				
E12T128	128	0.48653	0.044179	0.59654	0.060697						29				
E12T129	129	0.4952	0.044362	0.6029	0.060495						30				
E12T130	130	0.50372	0.044528	0.60916	0.060286						31				
E12T131	131	0.51209	0.044677	0.61532	0.060071						32				
E12T132	132	0.52032	0.044811	0.62138	0.05985						33				
E12T133	133	0.52841	0.04493	0.62734	0.059623						34				
E12T134	134	0.53636	0.045033	0.63321	0.05939						35				
E12T135	135	0.54417	0.045121	0.63898	0.059151						36				
E12T136	136	0.55185	0.045195	0.64466	0.058906						37				
E12T137	137	0.5594	0.045255	0.65025	0.058656						38				
E12T138	138	0.56682	0.045301	0.65574	0.058401						39				
E12T139	139	0.57411	0.045333	0.66115	0.058141						40				
E12T140	140	0.58128	0.045352	0.66648	0.057875						41				
E12T141	141	0.58833	0.045359	0.67171	0.057605						42				
E12T142	142	0.59525	0.045353	0.67687	0.05733						43				
E12T143	143	0.60206	0.045335	0.68194	0.05705						44				
E12T144	144	0.60875	0.045306	0.68693	0.056766						45				
E12T145	145	0.61533	0.045265	0.69184	0.056477						46				
E12T146	146	0.6218	0.045213	0.69667	0.056185						47				
E12T147	147	0.62815	0.04515	0.70142	0.055889						48				
E12T148	148	0.6344	0.045077	0.7061	0.055589						49				
E12T149	149	0.64054	0.044994	0.71071	0.055285						50				
E12T150	150	0.64657	0.044901	0.71523	0.054978						51				
E12T151	151	0.65251	0.044799	0.71969	0.054667						52				
E12T152	152	0.65834	0.044688	0.72408	0.054353						53				
E12T153	153	0.66407	0.044568	0.72839	0.054037						54				
E12T154	154	0.66971	0.04444	0.73264	0.053717						55				
E12T155	155	0.67525	0.044304	0.73682	0.053395						56				
E12T156	156	0.68069	0.04416	0.74093	0.05307						57				
E12T157	157	0.68604	0.044008	0.74498	0.052743						58				
E12T158	158	0.69131	0.043849	0.74896	0.052413						59				
E12T159	159	0.69648	0.043683	0.75288	0.052081						60				
E12T160	160	0.70156	0.043511	0.75674	0.051748						61				
E12T161	161	0.70656	0.043332	0.76054	0.051412						62				
E12T162	162	0.71147	0.043147	0.76427	0.051074						63				
E12T163	163	0.7163	0.042955	0.76795	0.050735						64				
