!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E18'  TableTitle=''  Document='MGluR'		
!TimePoint	!Time	>Y10	SD_Y10
E18T0	0	1	0.1
E18T1	0.1	1	0.1
E18T2	0.2	1	0.1
E18T3	0.3	1	0.1
E18T4	0.4	1	0.1
E18T5	0.5	1	0.1
E18T6	0.6	1	0.1
E18T7	0.7	1	0.1
E18T8	0.8	1	0.1
E18T9	0.9	1	0.1
E18T10	1	1	0.1
E18T11	1.1	1	0.1
E18T12	1.2	1	0.1
E18T13	1.3	1	0.1
E18T14	1.4	1	0.1
E18T15	1.5	1	0.1
E18T16	1.6	1	0.1
E18T17	1.7	1	0.1
E18T18	1.8	1	0.1
E18T19	1.9	1	0.1
E18T20	2	1	0.1
E18T21	2.1	1	0.1
E18T22	2.2	1	0.1
E18T23	2.3	1	0.1
E18T24	2.4	1	0.1
E18T25	2.5	1	0.1
E18T26	2.6	1	0.1
E18T27	2.7	1	0.1
E18T28	2.8	1	0.1
E18T29	2.9	1	0.1
E18T30	3	1	0.1
E18T31	3.1	1	0.1
E18T32	3.2	1	0.1
E18T33	3.3	1	0.1
E18T34	3.4	1	0.1
E18T35	3.5	1	0.1
E18T36	3.6	1	0.1
E18T37	3.7	1	0.1
E18T38	3.8	1	0.1
E18T39	3.9	1	0.1
E18T40	4	1	0.1
E18T41	4.1	1	0.1
E18T42	4.2	1	0.1
E18T43	4.3	1	0.1
E18T44	4.4	1	0.1
E18T45	4.5	1	0.1
E18T46	4.6	1	0.1
E18T47	4.7	1	0.1
E18T48	4.8	1	0.1
E18T49	4.9	1	0.1
E18T50	100	0.9245	0.042322
E18T51	100.1	0.9245	0.042322
E18T52	100.2	0.9245	0.042322
E18T53	100.3	0.9245	0.042322
E18T54	100.4	0.9245	0.042322
E18T55	100.5	0.9245	0.042322
E18T56	100.6	0.9245	0.042322
E18T57	100.7	0.9245	0.042322
E18T58	100.8	0.9245	0.042322
E18T59	100.9	0.9245	0.042322
E18T60	101	0.9245	0.042322
E18T61	101.1	0.9245	0.042322
E18T62	101.2	0.9245	0.042322
E18T63	101.3	0.9245	0.042322
E18T64	101.4	0.9245	0.042322
E18T65	101.5	0.9245	0.042322
E18T66	101.6	0.9245	0.042322
E18T67	101.7	0.9245	0.042322
E18T68	101.8	0.9245	0.042322
E18T69	101.9	0.9245	0.042322
E18T70	102	0.9245	0.042322
E18T71	102.1	0.9245	0.042322
E18T72	102.2	0.9245	0.042322
E18T73	102.3	0.9245	0.042322
E18T74	102.4	0.9245	0.042322
E18T75	102.5	0.9245	0.042322
E18T76	102.6	0.9245	0.042322
E18T77	102.7	0.9245	0.042322
E18T78	102.8	0.9245	0.042322
E18T79	102.9	0.9245	0.042322
E18T80	103	0.9245	0.042322
E18T81	103.1	0.9245	0.042322
E18T82	103.2	0.9245	0.042322
E18T83	103.3	0.9245	0.042322
E18T84	103.4	0.9245	0.042322
E18T85	103.5	0.9245	0.042322
E18T86	103.6	0.9245	0.042322
E18T87	103.7	0.9245	0.042322
E18T88	103.8	0.9245	0.042322
E18T89	103.9	0.9245	0.042322
E18T90	104	0.9245	0.042322
E18T91	104.1	0.9245	0.042322
E18T92	104.2	0.9245	0.042322
E18T93	104.3	0.9245	0.042322
E18T94	104.4	0.9245	0.042322
E18T95	104.5	0.9245	0.042322
E18T96	104.6	0.9245	0.042322
E18T97	104.7	0.9245	0.042322
E18T98	104.8	0.9245	0.042322
E18T99	104.9	0.9245	0.042322
E18T100	200	0.78218	0.059855
E18T101	200.1	0.78218	0.059855
E18T102	200.2	0.78218	0.059855
E18T103	200.3	0.78218	0.059855
E18T104	200.4	0.78218	0.059855
