!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E8'  TableTitle=''  Document='MGluR'		
!TimePoint	!Time	>Y7	SD_Y7
E8T0	0	0	0.001
E8T1	0.4	0	0.001
E8T2	0.8	0	0.001
E8T3	1.2	0	0.001
E8T4	1.6	0	0.001
E8T5	2	0	0.001
E8T6	2.4	0	0.001
E8T7	2.8	0	0.001
E8T8	3.2	0	0.001
E8T9	3.6	0	0.001
E8T10	4	0	0.001
E8T11	4.4	0	0.001
E8T12	4.8	0	0.001
E8T13	5.2	0.012251	0.03083
E8T14	5.6	0.15084	0.11774
E8T15	6	0.36601	0.12748
E8T16	6.4	0.53675	0.11265
E8T17	6.8	0.65986	0.099372
E8T18	7.2	0.74904	0.086886
E8T19	7.6	0.81406	0.075346
E8T20	8	0.86175	0.065132
E8T21	8.4	0.89689	0.056458
E8T22	8.8	0.92291	0.049365
E8T23	9.2	0.94226	0.043762
E8T24	9.6	0.95671	0.039484
E8T25	10	0.96753	0.03632
E8T26	10.4	0.97566	0.034049
E8T27	10.8	0.98179	0.032462
E8T28	11.2	0.98643	0.031377
E8T29	11.6	0.98995	0.03065
E8T30	12	0.99263	0.030168
E8T31	12.4	0.99466	0.029854
E8T32	12.8	0.99622	0.029651
E8T33	13.2	0.99742	0.02952
E8T34	13.6	0.99833	0.029438
E8T35	14	0.99904	0.029385
E8T36	14.4	0.99958	0.029353
E8T37	14.8	1	0.029333
E8T38	15.2	0.99755	0.030353
E8T39	15.6	0.93046	0.043879
E8T40	16	0.83152	0.044286
E8T41	16.4	0.74291	0.045974
E8T42	16.8	0.66392	0.048169
E8T43	17.2	0.59347	0.050083
E8T44	17.6	0.53063	0.051413
E8T45	18	0.47457	0.05209
E8T46	18.4	0.42453	0.052151
E8T47	18.8	0.37986	0.051673
E8T48	19.2	0.33998	0.050746
E8T49	19.6	0.30435	0.049458
E8T50	20	0.27252	0.04789
E8T51	20.4	0.24408	0.046113
E8T52	20.8	0.21866	0.044186
E8T53	21.2	0.19593	0.042162
E8T54	21.6	0.1756	0.040082
E8T55	22	0.15741	0.03798
E8T56	22.4	0.14114	0.035885
E8T57	22.8	0.12658	0.033819
E8T58	23.2	0.11355	0.0318
E8T59	23.6	0.10188	0.02984
E8T60	24	0.091426	0.027949
E8T61	24.4	0.082064	0.026135
E8T62	24.8	0.073675	0.024401
E8T63	25.2	0.066158	0.022752
E8T64	25.6	0.059419	0.021188
E8T65	26	0.053378	0.019709
E8T66	26.4	0.04796	0.018315
E8T67	26.8	0.043101	0.017003
E8T68	27.2	0.038741	0.015771
E8T69	27.6	0.034829	0.014617
E8T70	28	0.031318	0.013538
E8T71	28.4	0.028166	0.01253
E8T72	28.8	0.025336	0.011589
E8T73	29.2	0.022795	0.010713
E8T74	29.6	0.020512	0.0098984
E8T75	30	0.018461	0.009141
E8T76	30.4	0.016618	0.0084376
E8T77	30.8	0.014962	0.0077852
E8T78	31.2	0.013473	0.0071804
E8T79	31.6	0.012134	0.0066202
E8T80	32	0.010931	0.0061016
E8T81	32.4	0.0098479	0.005622
E8T82	32.8	0.008874	0.0051785
E8T83	33.2	0.0079977	0.0047688
E8T84	33.6	0.0072091	0.0043904
E8T85	34	0.0064994	0.0040411
E8T86	34.4	0.0058605	0.0037188
E8T87	34.8	0.0052852	0.0034216
E8T88	35.2	0.0047672	0.0031475
E8T89	35.6	0.0043006	0.0028949
E8T90	36	0.0038803	0.0026621
E8T91	36.4	0.0035016	0.0024478
E8T92	36.8	0.0031603	0.0022504
E8T93	37.2	0.0028528	0.0020686
E8T94	37.6	0.0025755	0.0019013
E8T95	38	0.0023256	0.0017474
E8T96	38.4	0.0021002	0.0016058
E8T97	38.8	0.0018969	0.0014755
E8T98	39.2	0.0017136	0.0013557
E8T99	39.6	0.0015482	0.0012456
E8T100	40	0.001399	0.0011443
