!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E32'  TableTitle=''  Document='MGluR'																		
!TimePoint	!Time	>Y0	SD_Y0	>Y2	SD_Y2	>Y3	SD_Y3	>Y5	SD_Y5	>Y6	SD_Y6	>Y7	SD_Y7	>Y10	SD_Y10	>Y13	SD_Y13	>Y14	SD_Y14
E32T0	0	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T1	1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T2	2	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T3	3	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T4	4	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T5	5	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T6	6	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T7	7	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T8	8	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T9	9	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T10	10	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T11	11	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T12	12	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T13	13	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T14	14	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T15	15	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T16	16	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T17	17	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T18	18	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T19	19	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T20	20	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T21	21	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T22	22	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T23	23	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T24	24	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T25	25	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T26	26	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T27	27	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T28	28	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T29	29	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T30	30	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E32T31	31	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
