!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E6'  TableTitle=''  Document='MGluR'					
!TimePoint	!Time	>Y5	SD_Y5	>Y6	SD_Y6	
E6T102	200.04	0.059856	0.05	0.91321	0.05	300.04
E6T103	200.06	0.059856	0.05	0.91321	0.05	300.06
E6T104	200.08	0.059856	0.05	0.91321	0.05	300.08
E6T105	200.1	0.059856	0.05	0.91321	0.05	300.1
E6T106	200.12	0.059856	0.05	0.91321	0.05	300.12
E6T107	200.14	0.059856	0.05	0.91321	0.05	300.14
E6T108	200.16	0.059856	0.05	0.91321	0.05	300.16
E6T109	200.18	0.059856	0.05	0.91321	0.05	300.18
E6T110	200.2	0.059856	0.05	0.91321	0.05	300.2
E6T111	200.22	0.059856	0.05	0.91321	0.05	300.22
E6T112	200.24	0.059856	0.05	0.91321	0.05	300.24
E6T113	200.26	0.059856	0.05	0.91321	0.05	300.26
E6T114	200.28	0.059856	0.05	0.91321	0.05	300.28
E6T115	200.3	0.059856	0.05	0.91321	0.05	300.3
E6T116	200.32	0.059856	0.05	0.91321	0.05	300.32
E6T117	200.34	0.059856	0.05	0.91321	0.05	300.34
E6T118	200.36	0.059856	0.05	0.91321	0.05	300.36
E6T119	200.38	0.059856	0.05	0.91321	0.05	300.38
E6T120	200.4	0.059856	0.05	0.91321	0.05	300.4
E6T121	200.42	0.059856	0.05	0.91321	0.05	300.42
E6T122	200.44	0.059856	0.05	0.91321	0.05	300.44
E6T123	200.46	0.059856	0.05	0.91321	0.05	300.46
E6T124	200.48	0.059856	0.05	0.91321	0.05	300.48
E6T125	200.5	0.059856	0.05	0.91321	0.05	300.5
E6T126	200.52	0.059856	0.05	0.91321	0.05	300.52
E6T127	200.54	0.059856	0.05	0.91321	0.05	300.54
E6T128	200.56	0.059856	0.05	0.91321	0.05	300.56
E6T129	200.58	0.059856	0.05	0.91321	0.05	300.58
E6T130	200.6	0.059856	0.05	0.91321	0.05	300.6
E6T131	200.62	0.059856	0.05	0.91321	0.05	300.62
E6T132	200.64	0.059856	0.05	0.91321	0.05	300.64
E6T133	200.66	0.059856	0.05	0.91321	0.05	300.66
E6T134	200.68	0.059856	0.05	0.91321	0.05	300.68
E6T135	200.7	0.059856	0.05	0.91321	0.05	300.7
E6T136	200.72	0.059856	0.05	0.91321	0.05	300.72
E6T137	200.74	0.059856	0.05	0.91321	0.05	300.74
E6T138	200.76	0.059856	0.05	0.91321	0.05	300.76
E6T139	200.78	0.059856	0.05	0.91321	0.05	300.78
E6T140	200.8	0.059856	0.05	0.91321	0.05	300.8
E6T141	200.82	0.059856	0.05	0.91321	0.05	300.82
E6T142	200.84	0.059856	0.05	0.91321	0.05	300.84
E6T143	200.86	0.059856	0.05	0.91321	0.05	300.86
E6T144	200.88	0.059856	0.05	0.91321	0.05	300.88
E6T145	200.9	0.059856	0.05	0.91321	0.05	300.9
E6T146	200.92	0.059856	0.05	0.91321	0.05	300.92
E6T147	200.94	0.059856	0.05	0.91321	0.05	300.94
E6T148	200.96	0.059856	0.05	0.91321	0.05	300.96
E6T149	200.98	0.059856	0.05	0.91321	0.05	300.98
E6T150	300	0.24045	0.05	0.56393	0.05	400
E6T151	300.02	0.24045	0.05	0.56393	0.05	400.02
E6T152	300.04	0.24045	0.05	0.56393	0.05	400.04
E6T153	300.06	0.24045	0.05	0.56393	0.05	400.06
E6T154	300.08	0.24045	0.05	0.56393	0.05	400.08
E6T155	300.1	0.24045	0.05	0.56393	0.05	400.1
E6T156	300.12	0.24045	0.05	0.56393	0.05	400.12
E6T157	300.14	0.24045	0.05	0.56393	0.05	400.14
E6T158	300.16	0.24045	0.05	0.56393	0.05	400.16
E6T159	300.18	0.24045	0.05	0.56393	0.05	400.18
E6T160	300.2	0.24045	0.05	0.56393	0.05	400.2
E6T161	300.22	0.24045	0.05	0.56393	0.05	400.22
E6T162	300.24	0.24045	0.05	0.56393	0.05	400.24
E6T163	300.26	0.24045	0.05	0.56393	0.05	400.26
E6T164	300.28	0.24045	0.05	0.56393	0.05	400.28
E6T165	300.3	0.24045	0.05	0.56393	0.05	400.3
E6T166	300.32	0.24045	0.05	0.56393	0.05	400.32
E6T167	300.34	0.24045	0.05	0.56393	0.05	400.34
E6T168	300.36	0.24045	0.05	0.56393	0.05	400.36
E6T169	300.38	0.24045	0.05	0.56393	0.05	400.38
E6T170	300.4	0.24045	0.05	0.56393	0.05	400.4
E6T171	300.42	0.24045	0.05	0.56393	0.05	400.42
E6T172	300.44	0.24045	0.05	0.56393	0.05	400.44
E6T173	300.46	0.24045	0.05	0.56393	0.05	400.46
E6T174	300.48	0.24045	0.05	0.56393	0.05	400.48
