!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E3'  TableTitle=''  Document='MGluR'		
!TimePoint	!Time	>Y3	SD_Y3
E3T0	0	0	0.01
E3T1	0.2	0	0.01
E3T2	0.4	0	0.01
E3T3	0.6	0	0.01
E3T4	0.8	0	0.01
E3T5	1	0	0.01
E3T6	1.2	0	0.01
E3T7	1.4	0	0.01
E3T8	1.6	0	0.01
E3T9	1.8	0	0.01
E3T10	2	0	0.01
E3T11	2.2	0	0.01
E3T12	2.4	0	0.01
E3T13	2.6	0	0.01
E3T14	2.8	0	0.01
E3T15	3	0	0.01
E3T16	3.2	0	0.01
E3T17	3.4	0	0.01
E3T18	3.6	0	0.01
E3T19	3.8	0	0.01
E3T20	4	0	0.01
E3T21	4.2	0	0.01
E3T22	4.4	0	0.01
E3T23	4.6	0	0.01
E3T24	4.8	0	0.01
E3T25	5	0	0.01
E3T26	5.2	0.64618	0.30615
E3T27	5.4	0.73204	0.30144
E3T28	5.6	0.78889	0.30087
E3T29	5.8	0.82979	0.30191
E3T30	6	0.86057	0.30359
E3T31	6.2	0.88441	0.30549
E3T32	6.4	0.90327	0.30739
E3T33	6.6	0.91843	0.3092
E3T34	6.8	0.93076	0.31087
E3T35	7	0.94091	0.3124
E3T36	7.2	0.94932	0.31378
E3T37	7.4	0.95636	0.31502
E3T38	7.6	0.96228	0.31612
E3T39	7.8	0.9673	0.3171
E3T40	8	0.97156	0.31798
E3T41	8.2	0.97521	0.31876
E3T42	8.4	0.97834	0.31945
E3T43	8.6	0.98103	0.32006
E3T44	8.8	0.98336	0.32061
E3T45	9	0.98538	0.32109
E3T46	9.2	0.98714	0.32152
E3T47	9.4	0.98867	0.32191
E3T48	9.6	0.99001	0.32225
E3T49	9.8	0.99119	0.32255
E3T50	10	0.99222	0.32283
E3T51	10.2	0.99313	0.32307
E3T52	10.4	0.99393	0.32329
E3T53	10.6	0.99464	0.32348
E3T54	10.8	0.99526	0.32365
E3T55	11	0.99582	0.32381
E3T56	11.2	0.99631	0.32395
E3T57	11.4	0.99675	0.32407
E3T58	11.6	0.99714	0.32419
E3T59	11.8	0.99749	0.32429
E3T60	12	0.9978	0.32438
E3T61	12.2	0.99808	0.32446
E3T62	12.4	0.99833	0.32453
E3T63	12.6	0.99855	0.3246
E3T64	12.8	0.99875	0.32466
E3T65	13	0.99893	0.32472
E3T66	13.2	0.9991	0.32476
E3T67	13.4	0.99924	0.32481
E3T68	13.6	0.99937	0.32485
E3T69	13.8	0.99949	0.32488
E3T70	14	0.9996	0.32492
E3T71	14.2	0.9997	0.32495
E3T72	14.4	0.99978	0.32497
E3T73	14.6	0.99986	0.325
E3T74	14.8	0.99993	0.32502
E3T75	15	1	0.32504
E3T76	15.2	0.38132	0.25579
E3T77	15.4	0.29061	0.2102
E3T78	15.6	0.23029	0.17749
E3T79	15.8	0.18669	0.15218
E3T80	16	0.15374	0.13183
E3T81	16.2	0.1281	0.11509
E3T82	16.4	0.10773	0.10109
E3T83	16.6	0.091291	0.089247
E3T84	16.8	0.077854	0.079124
E3T85	17	0.06676	0.070407
E3T86	17.2	0.057521	0.062854
E3T87	17.4	0.04977	0.056273
E3T88	17.6	0.043226	0.050511
E3T89	17.8	0.03767	0.045447
E3T90	18	0.032931	0.040978
E3T91	18.2	0.028869	0.037022
E3T92	18.4	0.025374	0.033509
E3T93	18.6	0.022355	0.030381
E3T94	18.8	0.01974	0.027589
E3T95	19	0.017467	0.025092
E3T96	19.2	0.015486	0.022852
E3T97	19.4	0.013755	0.02084
E3T98	19.6	0.012238	0.019029
E3T99	19.8	0.010907	0.017397
E3T100	20	0.0097347	0.015922
