!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E2'  TableTitle=''  Document='MGluR'		
!TimePoint	!Time	>Y4	SD_Y4
E2T0	0	0	0.001
E2T1	0.2	0	0.001
E2T2	0.4	0	0.001
E2T3	0.6	0	0.001
E2T4	0.8	0	0.001
E2T5	1	0	0.001
E2T6	1.2	0	0.001
E2T7	1.4	0	0.001
E2T8	1.6	0	0.001
E2T9	1.8	0	0.001
E2T10	2	0	0.001
E2T11	2.2	0	0.001
E2T12	2.4	0	0.001
E2T13	2.6	0	0.001
E2T14	2.8	0	0.001
E2T15	3	0	0.001
E2T16	3.2	0	0.001
E2T17	3.4	0	0.001
E2T18	3.6	0	0.001
E2T19	3.8	0	0.001
E2T20	4	0	0.001
E2T21	4.2	0	0.001
E2T22	4.4	0	0.001
E2T23	4.6	0	0.001
E2T24	4.8	0	0.001
E2T25	5	0	0.001
E2T26	5.2	0.82955	0.15925
E2T27	5.4	0.94389	0.082001
E2T28	5.6	0.97862	0.054236
E2T29	5.8	0.99112	0.045757
E2T30	6	0.99608	0.043455
E2T31	6.2	0.99819	0.042847
E2T32	6.4	0.99914	0.042686
E2T33	6.6	0.99957	0.042644
E2T34	6.8	0.99978	0.042634
E2T35	7	0.99989	0.042632
E2T36	7.2	0.99994	0.042632
E2T37	7.4	0.99997	0.042632
E2T38	7.6	0.99998	0.042632
E2T39	7.8	0.99999	0.042633
E2T40	8	0.99999	0.042633
E2T41	8.2	1	0.042633
E2T42	8.4	1	0.042633
E2T43	8.6	1	0.042633
E2T44	8.8	1	0.042633
E2T45	9	1	0.042633
E2T46	9.2	1	0.042633
E2T47	9.4	1	0.042633
E2T48	9.6	1	0.042633
E2T49	9.8	1	0.042633
E2T50	10	1	0.042633
E2T51	10.2	1	0.042633
E2T52	10.4	1	0.042633
E2T53	10.6	1	0.042633
E2T54	10.8	1	0.042633
E2T55	11	1	0.042633
E2T56	11.2	1	0.042633
E2T57	11.4	1	0.042633
E2T58	11.6	1	0.042633
E2T59	11.8	1	0.042633
E2T60	12	1	0.042633
E2T61	12.2	1	0.042633
E2T62	12.4	1	0.042633
E2T63	12.6	1	0.042633
E2T64	12.8	1	0.042633
E2T65	13	1	0.042633
E2T66	13.2	1	0.042633
E2T67	13.4	1	0.042633
E2T68	13.6	1	0.042633
E2T69	13.8	1	0.042633
E2T70	14	1	0.042633
E2T71	14.2	1	0.042633
E2T72	14.4	1	0.042633
E2T73	14.6	1	0.042633
E2T74	14.8	1	0.042633
E2T75	15	1	0.042633
E2T76	15.2	0.30434	0.16685
E2T77	15.4	0.12365	0.097976
E2T78	15.6	0.055103	0.05584
E2T79	15.8	0.026027	0.032005
E2T80	16	0.012823	0.018583
E2T81	16.2	0.0065282	0.010945
E2T82	16.4	0.0034134	0.0065371
E2T83	16.6	0.0018252	0.0039564
E2T84	16.8	0.00099491	0.0024242
E2T85	17	0.0005515	0.0015025
E2T86	17.2	0.00031029	0.001
E2T87	17.4	0.00017692	0.001
E2T88	17.6	0.00010209	0.001
E2T89	17.8	5.9568e-05	0.001
E2T90	18	3.5107e-05	0.001
E2T91	18.2	2.0884e-05	0.001
E2T92	18.4	1.2532e-05	0.001
E2T93	18.6	7.5804e-06	0.001
E2T94	18.8	4.6201e-06	0.001
E2T95	19	2.8359e-06	0.001
E2T96	19.2	1.7524e-06	0.001
E2T97	19.4	1.0898e-06	0.001
E2T98	19.6	6.8174e-07	0.001
E2T99	19.8	4.2891e-07	0.001
E2T100	20	2.7131e-07	0.001
