!!SBtab	SBtabVersion='1.0' TableType='QuantityMatrix' TableName='E7I' 'TableTitle='' Document='MGLuRd'
!Input_Time_S0	>S14
1	100
101	1000
201	10000
301	100000
401	1000000
501	5000000
