!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E23'  TableTitle=''  Document='MGluR'														
!TimePoint	!Time	>Y3	SD_Y3	>Y5	SD_Y5	>Y6	SD_Y6	>Y7	SD_Y7	>Y10	SD_Y10	>Y13	SD_Y13	>Y14	SD_Y14
E23T0	0	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T1	1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T2	2	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T3	3	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T4	4	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T5	5	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T6	6	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T7	7	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T8	8	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T9	9	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T10	10	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T11	11	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T12	12	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T13	13	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T14	14	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T15	15	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T16	16	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T17	17	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T18	18	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T19	19	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T20	20	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T21	21	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T22	22	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T23	23	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T24	24	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T25	25	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T26	26	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T27	27	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T28	28	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T29	29	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T30	30	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T31	31	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E23T32	32	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
