!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E28'  TableTitle=''  Document='MGluR'														
!TimePoint	!Time	>Y3	SD_Y3	>Y5	SD_Y5	>Y6	SD_Y6	>Y7	SD_Y7	>Y10	SD_Y10	>Y13	SD_Y13	>Y14	SD_Y14
E28T0	0	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E28T1	1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E28T2	2	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E28T3	3	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E28T4	4	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E28T5	5	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E28T6	6	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E28T7	7	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E28T8	8	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E28T9	9	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E28T10	10	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E28T11	11	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E28T12	12	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E28T13	13	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E28T14	14	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E28T15	15	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E28T16	16	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
