!!SBtab	Document='MGluR' TableName='Reaction' TableType='Reaction' TableTitle='MGluR Reaction Fluxes' SBtabVersion='1.0'				
!ID	!Name	!KineticLaw	!IsReversible	!Location	!ReactionFormula
R34	ReactionFlux34	kf_34 * M1R * Gqbc - kr_34 * M1R_Gqbc	TRUE	Neuron	M1R + Gqbc <=> M1R_Gqbc
R35	ReactionFlux35	kf_35 * ACh_M1R * Gqbc - kr_35 * ACh_M1R_Gqbc	TRUE	Neuron	ACh_M1R + Gqbc <=> ACh_M1R_Gqbc
R36	ReactionFlux36	kf_36 * M1R * Gqabc - kr_36 * M1R_Gqabc	TRUE	Neuron	M1R + Gqabc <=> M1R_Gqabc
R37	ReactionFlux37	kf_37 * ACh_M1R * Gqabc - kr_37 * ACh_M1R_Gqabc	TRUE	Neuron	ACh_M1R + Gqabc <=> ACh_M1R_Gqabc
R38	ReactionFlux38	kf_38 * M1R_Gqbc * GqaGDP	FALSE	Neuron	M1R_Gqbc + GqaGDP <=> M1R_Gqabc
R39	ReactionFlux39	kf_39 * ACh_M1R_Gqbc * GqaGDP	FALSE	Neuron	ACh_M1R_Gqbc + GqaGDP <=> ACh_M1R_Gqabc
R40	ReactionFlux40	kf_40 * M1R_Gqabc	FALSE	Neuron	M1R_Gqabc <=> M1R_Gqbc + GqaGTP
R41	ReactionFlux41	kf_41 * ACh_M1R_Gqabc	FALSE	Neuron	ACh_M1R_Gqabc <=> ACh_M1R_Gqbc + GqaGTP
R42	ReactionFlux42	kf_42 * M1R_Gqabc * PLC - kr_42 * M1R_Gqabc_PLC	TRUE	Neuron	M1R_Gqabc + PLC <=> M1R_Gqabc_PLC
R43	ReactionFlux43	kf_43 * ACh_M1R_Gqabc * PLC - kr_43 * ACh_M1R_Gqabc_PLC	TRUE	Neuron	ACh_M1R_Gqabc + PLC <=> ACh_M1R_Gqabc_PLC
R44	ReactionFlux44	kf_44 * M1R_Gqbc * GqaGDP_PLC	FALSE	Neuron	M1R_Gqbc + GqaGDP_PLC <=> M1R_Gqabc_PLC
