!!SBtab	SBtabVersion='1.0' TableType='QuantityMatrix' TableName='E0' 'TableTitle='' Document='MGLuRd'		
!TimePoint	!Time	>Y0	SD_Y0
E0T0	0	0	0.001
E0T1	0.02	0	0.001
E0T2	0.04	0	0.001
E0T3	0.06	0	0.001
E0T4	0.08	0	0.001
E0T5	0.1	0	0.001
E0T6	0.96	0.1824	0.010087
E0T7	0.98	0.1824	0.010087
E0T8	1	0.1824	0.010087
E0T9	1.02	0.1297	0.0081221
E0T10	1.04	0.092312	0.0074207
E0T11	1.06	0.065756	0.0067759
E0T12	1.08	0.046879	0.0059923
E0T13	1.1	0.033448	0.0051368
E0T14	1.12	0.023885	0.0042943
E0T15	1.14	0.017069	0.0035205
E0T16	1.16	0.012208	0.0028424
E0T17	1.18	0.0087382	0.0022674
E0T18	1.2	0.0062593	0.0017914
E0T19	1.22	0.004487	0.0014042
E0T20	1.24	0.0032189	0.0010936
E0T21	1.26	0.0023109	0.001
E0T22	1.28	0.0016602	0.001
E0T23	1.3	0.0011936	0.001
E0T24	1.32	0.00085877	0.001
E0T25	1.34	0.00061828	0.001
E0T26	1.36	0.00044544	0.001
E0T27	1.38	0.00032114	0.001
E0T28	1.4	0.00023168	0.001
E0T29	1.42	0.00016725	0.001
E0T30	1.44	0.00012082	0.001
E0T31	1.46	8.7335e-05	0.001
E0T32	1.48	6.317e-05	0.001
E0T33	1.5	4.5721e-05	0.001
E0T34	1.52	3.3112e-05	0.001
E0T35	1.54	2.3995e-05	0.001
E0T36	1.56	1.7399e-05	0.001
E0T37	1.58	1.2624e-05	0.001
E0T38	1.6	9.1651e-06	0.001
E0T39	1.62	6.6577e-06	0.001
E0T40	1.64	4.8391e-06	0.001
E0T41	1.66	3.5193e-06	0.001
E0T42	1.68	2.5609e-06	0.001
E0T43	1.7	1.8646e-06	0.001
E0T44	1.72	1.3584e-06	0.001
E0T45	1.74	9.9014e-07	0.001
E0T46	1.76	7.2212e-07	0.001
E0T47	1.78	5.2694e-07	0.001
E0T48	1.8	3.8472e-07	0.001
E0T49	1.82	2.8103e-07	0.001
E0T50	1.84	2.054e-07	0.001
E0T51	1.86	1.502e-07	0.001
E0T52	1.88	1.099e-07	0.001
E0T53	1.9	8.0445e-08	0.001
E0T54	1.92	5.8918e-08	0.001
E0T55	1.94	4.3173e-08	0.001
E0T56	1.96	3.1651e-08	0.001
E0T57	1.98	2.3216e-08	0.001
E0T58	2	0	0.001
E0T59	2.02	0	0.001
E0T60	2.04	0	0.001
E0T61	2.06	0	0.001
E0T62	2.08	0	0.001
