!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E17'  TableTitle=''  Document='MGluR'		
!TimePoint	!Time	>Y10	SD_Y10
E17T0	0	1	0.01
E17T1	1	1	0.01
E17T2	2	1	0.01
E17T3	3	1	0.01
E17T4	4	1	0.01
E17T5	5	1	0.01
E17T6	6	1	0.01
E17T7	7	1	0.01
E17T8	8	1	0.01
E17T9	9	1	0.01
E17T10	10	1	0.01
E17T11	11	1	0.01
E17T12	12	1	0.01
E17T13	13	1	0.01
E17T14	14	1	0.01
E17T15	15	1	0.01
E17T16	16	1	0.01
E17T17	17	1	0.01
E17T18	18	1	0.01
E17T19	19	1	0.01
E17T20	20	1	0.01
E17T21	21	0.97748	0.1378
E17T22	22	0.68072	0.36917
E17T23	23	0.55111	0.33747
E17T24	24	0.46332	0.30883
E17T25	25	0.3955	0.28294
E17T26	26	0.34096	0.25925
E17T27	27	0.29603	0.23752
E17T28	28	0.25842	0.21756
E17T29	29	0.22654	0.1992
E17T30	30	0.19926	0.18231
E17T31	31	0.17573	0.16675
E17T32	32	0.1553	0.15241
E17T33	33	0.13748	0.13918
E17T34	34	0.12184	0.12697
E17T35	35	0.10808	0.11569
E17T36	36	0.095912	0.10527
E17T37	37	0.085123	0.09562
E17T38	38	0.075527	0.08669
E17T39	39	0.06697	0.07842
E17T40	40	0.059319	0.070757
E17T41	41	0.052464	0.063654
E17T42	42	0.046308	0.05707
E17T43	43	0.04077	0.050965
E17T44	44	0.035779	0.045306
E17T45	45	0.031273	0.040059
E17T46	46	0.027198	0.035197
E17T47	47	0.023518	0.030738
E17T48	48	0.020171	0.026569
E17T49	49	0.017142	0.02276
E17T50	50	0.014379	0.019195
E17T51	51	0.011874	0.015945
E17T52	52	0.0095921	0.012947
E17T53	53	0.0075419	0.010299
E17T54	54	0.0056538	0.01
E17T55	55	0.0040141	0.01
E17T56	56	0.0026509	0.01
E17T57	57	0.0014722	0.01
E17T58	58	0.00062328	0.01
E17T59	59	0.0001017	0.01
E17T60	60	0	0.01
E17T61	61	0.00050916	0.01
E17T62	62	0.0014509	0.01
E17T63	63	0.0035915	0.012176
E17T64	64	0.0067009	0.024027
E17T65	65	0.011627	0.042639
E17T66	66	0.018266	0.066167
E17T67	67	0.026761	0.093258
E17T68	68	0.037549	0.12336
E17T69	69	0.050877	0.15531
E17T70	70	0.065742	0.1858
E17T71	71	0.083483	0.21695
E17T72	72	0.10259	0.24556
E17T73	73	0.12346	0.27239
E17T74	74	0.14495	0.29615
E17T75	75	0.16736	0.31751
E17T76	76	0.18983	0.33591
E17T77	77	0.21138	0.35101
E17T78	78	0.2308	0.36248
E17T79	79	0.2497	0.3721
E17T80	80	0.26722	0.37955
E17T81	81	0.28283	0.38492
E17T82	82	0.29667	0.38866
E17T83	83	0.30897	0.39113
E17T84	84	0.31998	0.39267
E17T85	85	0.32999	0.39355
E17T86	86	0.33825	0.39355
E17T87	87	0.34582	0.3932
E17T88	88	0.35237	0.39244
E17T89	89	0.3585	0.39155
E17T90	90	0.36417	0.39051
E17T91	91	0.3696	0.38942
E17T92	92	0.37467	0.38825
E17T93	93	0.37952	0.38706
E17T94	94	0.38417	0.38585
E17T95	95	0.3888	0.38467
E17T96	96	0.39329	0.38349
E17T97	97	0.39767	0.38231
E17T98	98	0.40197	0.38114
E17T99	99	0.40619	0.37998
E17T100	100	0.41033	0.37883
	101	0.41442	0.37769
	102	0.41843	0.37655
	103	0.42239	0.37543
	104	0.42628	0.37431
	105	0.43012	0.37319
	106	0.4339	0.37209
	107	0.43763	0.37099
	108	0.44131	0.36989
	109	0.44493	0.36881
	110	0.44851	0.36772
	111	0.45205	0.36665
	112	0.45553	0.36557
	113	0.45897	0.36451
	114	0.46237	0.36344
	115	0.46573	0.36239
	116	0.46904	0.36133
	117	0.47232	0.36028
	118	0.47556	0.35924
	119	0.47876	0.3582
	120	0.48192	0.35717
	121	0.48505	0.35614
	122	0.48814	0.35511
	123	0.49119	0.35409
	124	0.49422	0.35307
	125	0.49721	0.35205
	126	0.50016	0.35104
	127	0.50309	0.35004
	128	0.50599	0.34903
	129	0.50885	0.34804
	130	0.51169	0.34704
	131	0.5145	0.34605
	132	0.51727	0.34506
	133	0.52002	0.34408
	134	0.52275	0.3431
	135	0.52544	0.34213
	136	0.52811	0.34116
	137	0.53076	0.34019
	138	0.53338	0.33922
	139	0.53597	0.33826
	140	0.53854	0.3373
	141	0.54108	0.33635
	142	0.54361	0.3354
	143	0.5461	0.33445
	144	0.54858	0.33351
	145	0.55103	0.33257
	146	0.55346	0.33163
	147	0.55587	0.3307
	148	0.55826	0.32977
	149	0.56062	0.32885
	150	0.56297	0.32792
	151	0.56529	0.327
	152	0.5676	0.32609
	153	0.56988	0.32518
	154	0.57215	0.32427
	155	0.5744	0.32336
	156	0.57662	0.32246
	157	0.57883	0.32156
	158	0.58102	0.32066
	159	0.58319	0.31977
	160	0.58535	0.31888
	161	0.58748	0.31799
	162	0.5896	0.31711
	163	0.59171	0.31623
	164	0.59379	0.31535
	165	0.59586	0.31448
	166	0.59791	0.3136
	167	0.59995	0.31274
	168	0.60197	0.31187
	169	0.60397	0.31101
	170	0.60596	0.31015
	171	0.60793	0.30929
	172	0.60989	0.30844
	173	0.61183	0.30759
	174	0.61376	0.30674
	175	0.61567	0.3059
	176	0.61757	0.30506
	177	0.61946	0.30422
	178	0.62133	0.30338
	179	0.62318	0.30255
	180	0.62502	0.30172
	181	0.62685	0.30089
	182	0.62867	0.30007
	183	0.63047	0.29925
	184	0.63226	0.29843
	185	0.63404	0.29761
	186	0.6358	0.2968
	187	0.63755	0.29599
	188	0.63929	0.29518
	189	0.64101	0.29438
	190	0.64273	0.29358
	191	0.64443	0.29278
	192	0.64612	0.29198
	193	0.6478	0.29119
	194	0.64946	0.2904
	195	0.65112	0.28961
	196	0.65276	0.28882
	197	0.65439	0.28804
	198	0.65601	0.28726
	199	0.65762	0.28648
	200	0.65922	0.28571
	201	0.66081	0.28493
	202	0.66238	0.28416
	203	0.66395	0.2834
	204	0.6655	0.28263
	205	0.66705	0.28187
	206	0.66858	0.28111
	207	0.67011	0.28035
	208	0.67162	0.2796
	209	0.67313	0.27884
	210	0.67462	0.27809
	211	0.67611	0.27735
	212	0.67758	0.2766
	213	0.67905	0.27586
	214	0.6805	0.27512
	215	0.68195	0.27438
	216	0.68339	0.27365
	217	0.68482	0.27291
	218	0.68624	0.27218
	219	0.68765	0.27146
	220	0.68905	0.27073
	221	0.69044	0.27001
	222	0.69182	0.26929
	223	0.6932	0.26857
	224	0.69456	0.26785
	225	0.69592	0.26714
	226	0.69727	0.26643
	227	0.69861	0.26572
	228	0.69994	0.26501
	229	0.70127	0.26431
	230	0.70258	0.2636
	231	0.70389	0.2629
	232	0.70519	0.26221
	233	0.70648	0.26151
	234	0.70777	0.26082
	235	0.70904	0.26013
	236	0.71031	0.25944
	237	0.71157	0.25875
	238	0.71282	0.25807
	239	0.71407	0.25739
	240	0.71531	0.25671
	241	0.71654	0.25603
	242	0.71776	0.25535
	243	0.71898	0.25468
	244	0.72019	0.25401
	245	0.72139	0.25334
	246	0.72258	0.25267
	247	0.72377	0.25201
	248	0.72495	0.25135
	249	0.72613	0.25069
	250	0.72729	0.25003
	251	0.72845	0.24937
	252	0.72961	0.24872
	253	0.73075	0.24806
	254	0.7319	0.24741
	255	0.73303	0.24677
	256	0.73416	0.24612
	257	0.73528	0.24548
	258	0.73639	0.24483
	259	0.7375	0.24419
	260	0.7386	0.24356
	261	0.7397	0.24292
	262	0.74079	0.24229
	263	0.74187	0.24166
	264	0.74295	0.24103
	265	0.74402	0.2404
	266	0.74508	0.23977
	267	0.74614	0.23915
	268	0.74719	0.23853
	269	0.74824	0.23791
	270	0.74928	0.23729
	271	0.75032	0.23667
	272	0.75135	0.23606
	273	0.75237	0.23545
	274	0.75339	0.23484
	275	0.7544	0.23423
	276	0.75541	0.23362
	277	0.75641	0.23302
	278	0.75741	0.23241
	279	0.7584	0.23181
	280	0.75939	0.23121
	281	0.76037	0.23062
	282	0.76134	0.23002
	283	0.76231	0.22943
	284	0.76328	0.22884
	285	0.76424	0.22825
	286	0.76519	0.22766
	287	0.76614	0.22707
	288	0.76708	0.22649
	289	0.76802	0.22591
	290	0.76896	0.22533
	291	0.76989	0.22475
	292	0.77081	0.22417
	293	0.77173	0.2236
	294	0.77264	0.22302
	295	0.77355	0.22245
	296	0.77446	0.22188
	297	0.77536	0.22131
	298	0.77626	0.22075
	299	0.77715	0.22018
	300	0.77803	0.21962
	301	0.77891	0.21906
	302	0.77979	0.2185
	303	0.78066	0.21794
	304	0.78153	0.21738
	305	0.78239	0.21683
	306	0.78325	0.21628
	307	0.78411	0.21572
	308	0.78496	0.21518
	309	0.7858	0.21463
	310	0.78665	0.21408
	311	0.78748	0.21354
	312	0.78832	0.21299
	313	0.78914	0.21245
	314	0.78997	0.21191
	315	0.79079	0.21138
	316	0.7916	0.21084
	317	0.79242	0.21031
	318	0.79322	0.20977
	319	0.79403	0.20924
	320	0.79483	0.20871
	321	0.79562	0.20818
	322	0.79642	0.20766
	323	0.7972	0.20713
	324	0.79799	0.20661
	325	0.79877	0.20609
	326	0.79954	0.20557
	327	0.80032	0.20505
	328	0.80109	0.20453
	329	0.80185	0.20402
	330	0.80261	0.2035
	331	0.80337	0.20299
	332	0.80412	0.20248
	333	0.80487	0.20197
	334	0.80562	0.20146
	335	0.80636	0.20096
	336	0.8071	0.20045
	337	0.80783	0.19995
	338	0.80857	0.19945
	339	0.80929	0.19895
	340	0.81002	0.19845
	341	0.81074	0.19795
	342	0.81146	0.19746
	343	0.81217	0.19696
	344	0.81288	0.19647
	345	0.81359	0.19598
	346	0.81429	0.19549
	347	0.81499	0.195
	348	0.81569	0.19451
	349	0.81638	0.19403
	350	0.81707	0.19354
	351	0.81776	0.19306
	352	0.81844	0.19258
	353	0.81913	0.1921
	354	0.8198	0.19162
	355	0.82048	0.19114
	356	0.82115	0.19067
	357	0.82182	0.19019
	358	0.82248	0.18972
	359	0.82314	0.18925
	360	0.8238	0.18878
	361	0.82445	0.18831
	362	0.82511	0.18784
	363	0.82576	0.18738
	364	0.8264	0.18691
	365	0.82705	0.18645
	366	0.82769	0.18599
	367	0.82832	0.18553
	368	0.82896	0.18507
	369	0.82959	0.18461
	370	0.83022	0.18416
	371	0.83084	0.1837
	372	0.83146	0.18325
	373	0.83208	0.1828
	374	0.8327	0.18235
	375	0.83331	0.1819
	376	0.83392	0.18145
	377	0.83453	0.181
	378	0.83514	0.18055
	379	0.83574	0.18011
	380	0.83634	0.17967
	381	0.83694	0.17923
	382	0.83753	0.17878
	383	0.83812	0.17835
	384	0.83871	0.17791
	385	0.8393	0.17747
	386	0.83988	0.17704
	387	0.84046	0.1766
	388	0.84104	0.17617
	389	0.84162	0.17574
	390	0.84219	0.17531
	391	0.84276	0.17488
	392	0.84333	0.17445
	393	0.8439	0.17402
	394	0.84446	0.1736
	395	0.84502	0.17317
	396	0.84558	0.17275
	397	0.84613	0.17233
	398	0.84669	0.17191
	399	0.84724	0.17149
	400	0.84778	0.17107
	401	0.84833	0.17065
	402	0.84887	0.17024
	403	0.84941	0.16982
	404	0.84995	0.16941
	405	0.85049	0.169
	406	0.85102	0.16859
	407	0.85155	0.16818
	408	0.85208	0.16777
	409	0.85261	0.16736
	410	0.85313	0.16695
	411	0.85365	0.16655
	412	0.85417	0.16614
	413	0.85469	0.16574
	414	0.85521	0.16534
	415	0.85572	0.16494
	416	0.85623	0.16454
	417	0.85674	0.16414
	418	0.85724	0.16374
	419	0.85775	0.16335
	420	0.85825	0.16295
	421	0.85875	0.16256
	422	0.85925	0.16217
	423	0.85974	0.16178
	424	0.86024	0.16139
	425	0.86073	0.161
	426	0.86122	0.16061
	427	0.8617	0.16022
	428	0.86219	0.15983
	429	0.86267	0.15945
	430	0.86315	0.15907
	431	0.86363	0.15868
	432	0.86411	0.1583
	433	0.86458	0.15792
	434	0.86505	0.15754
	435	0.86552	0.15716
	436	0.86599	0.15679
	437	0.86646	0.15641
	438	0.86692	0.15603
	439	0.86738	0.15566
	440	0.86784	0.15529
	441	0.8683	0.15492
	442	0.86876	0.15454
	443	0.86921	0.15417
	444	0.86967	0.15381
	445	0.87012	0.15344
	446	0.87057	0.15307
	447	0.87101	0.1527
	448	0.87146	0.15234
	449	0.8719	0.15198
	450	0.87234	0.15161
	451	0.87278	0.15125
	452	0.87322	0.15089
	453	0.87365	0.15053
	454	0.87409	0.15017
	455	0.87452	0.14981
	456	0.87495	0.14946
	457	0.87538	0.1491
	458	0.87581	0.14875
	459	0.87623	0.14839
	460	0.87665	0.14804
	461	0.87708	0.14769
	462	0.8775	0.14734
	463	0.87791	0.14699
	464	0.87833	0.14664
	465	0.87874	0.14629
	466	0.87916	0.14594
	467	0.87957	0.1456
	468	0.87998	0.14525
	469	0.88039	0.14491
	470	0.88079	0.14457
	471	0.8812	0.14422
	472	0.8816	0.14388
	473	0.882	0.14354
	474	0.8824	0.1432
	475	0.8828	0.14286
	476	0.88319	0.14253
	477	0.88359	0.14219
	478	0.88398	0.14186
	479	0.88437	0.14152
	480	0.88476	0.14119
	481	0.88515	0.14085
	482	0.88554	0.14052
	483	0.88592	0.14019
	484	0.8863	0.13986
	485	0.88669	0.13953
	486	0.88707	0.1392
	487	0.88744	0.13888
	488	0.88782	0.13855
	489	0.8882	0.13822
	490	0.88857	0.1379
	491	0.88894	0.13758
	492	0.88932	0.13725
	493	0.88969	0.13693
	494	0.89005	0.13661
	495	0.89042	0.13629
	496	0.89079	0.13597
	497	0.89115	0.13565
	498	0.89151	0.13533
	499	0.89187	0.13502
	500	0.89223	0.1347
