!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E33'  TableTitle=''  Document='MGluR'																		
!TimePoint	!Time	>Y0	SD_Y0	>Y2	SD_Y2	>Y3	SD_Y3	>Y5	SD_Y5	>Y6	SD_Y6	>Y7	SD_Y7	>Y10	SD_Y10	>Y13	SD_Y13	>Y14	SD_Y14
E33T0	0	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T1	1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T2	2	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T3	3	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T4	4	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T5	5	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T6	6	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T7	7	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T8	8	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T9	9	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T10	10	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T11	11	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T12	12	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T13	13	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T14	14	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T15	15	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T16	16	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T17	17	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T18	18	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T19	19	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T20	20	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T21	21	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T22	22	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T23	23	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T24	24	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T25	25	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T26	26	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T27	27	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T28	28	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T29	29	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T30	30	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T31	31	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T32	32	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T33	33	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T34	34	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T35	35	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T36	36	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T37	37	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T38	38	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T39	39	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T40	40	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T41	41	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T42	42	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T43	43	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T44	44	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T45	45	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T46	46	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T47	47	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T48	48	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T49	49	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T50	50	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T51	51	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T52	52	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T53	53	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T54	54	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T55	55	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T56	56	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T57	57	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T58	58	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T59	59	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T60	60	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T61	61	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T62	62	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T63	63	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T64	64	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T65	65	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T66	66	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T67	67	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T68	68	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T69	69	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T70	70	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T71	71	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T72	72	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T73	73	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T74	74	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T75	75	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T76	76	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T77	77	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T78	78	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T79	79	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T80	80	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T81	81	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T82	82	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T83	83	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T84	84	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T85	85	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T86	86	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T87	87	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T88	88	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T89	89	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T90	90	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T91	91	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T92	92	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T93	93	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T94	94	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T95	95	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T96	96	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T97	97	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T98	98	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T99	99	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T100	100	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T101	101	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T102	102	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T103	103	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T104	104	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T105	105	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T106	106	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T107	107	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T108	108	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T109	109	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T110	110	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T111	111	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T112	112	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T113	113	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T114	114	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T115	115	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T116	116	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E33T117	117	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
