!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E4'  TableTitle=''  Document='MGluR'				
!TimePoint	!Time	>Y5	SD_Y5	>Y6	SD_Y6
E4T0	0	0	0.001	1	0.001
E4T1	1	0	0.001	1	0.001
E4T2	2	0	0.001	1	0.001
E4T3	3	0	0.001	1	0.001
E4T4	4	0	0.001	1	0.001
E4T5	5	0	0.001	1	0.001
E4T6	6	0.98354	0.051939	0.59925	0.047473
E4T7	7	0.99922	0.048399	0.36063	0.056612
E4T8	8	0.99995	0.048405	0.21756	0.052049
E4T9	9	1	0.048407	0.13123	0.044182
E4T10	10	1	0.048407	0.078834	0.037067
E4T11	11	1	0.048407	0.046855	0.031918
E4T12	12	1	0.048407	0.027238	0.028691
E4T13	13	1	0.048407	0.015145	0.026881
E4T14	14	1	0.048407	0.0076567	0.025948
E4T15	15	1	0.048407	0.0029997	0.025496
E4T16	16	0.7626	0.038363	0.00043673	0.025386
E4T17	17	0.58169	0.032337	0	0.026131
E4T18	18	0.44379	0.02813	0.0019005	0.028579
E4T19	19	0.33866	0.024675	0.0066458	0.033188
E4T20	20	0.25849	0.021563	0.014749	0.039636
E4T21	21	0.19734	0.018686	0.026564	0.04697
E4T22	22	0.15068	0.016038	0.042129	0.054041
E4T23	23	0.11509	0.013637	0.06096	0.059944
E4T24	24	0.087916	0.011498	0.082306	0.064109
E4T25	25	0.067175	0.009622	0.10524	0.066483
E4T26	26	0.051337	0.0079992	0.12893	0.067317
E4T27	27	0.039242	0.0066118	0.15278	0.067002
E4T28	28	0.030003	0.0054376	0.17638	0.065992
E4T29	29	0.022943	0.0044521	0.19952	0.064613
E4T30	30	0.017549	0.003631	0.22207	0.063091
E4T31	31	0.013425	0.0029512	0.24402	0.061558
E4T32	32	0.010273	0.0023913	0.26535	0.060056
E4T33	33	0.0078621	0.0019323	0.28608	0.058603
E4T34	34	0.0060183	0.0015576	0.30623	0.0572
E4T35	35	0.0046079	0.0012529	0.32581	0.055849
E4T36	36	0.0035287	0.0010057	0.34483	0.054546
E4T37	37	0.0027028	0.001	0.36331	0.053291
E4T38	38	0.0020706	0.001	0.38127	0.052079
E4T39	39	0.0015866	0.001	0.39873	0.05091
E4T40	40	0.001216	0.001	0.41569	0.049781
E4T41	41	0.00093212	0.001	0.43217	0.048689
E4T42	42	0.00071466	0.001	0.44818	0.047634
E4T43	43	0.00054803	0.001	0.46374	0.046613
E4T44	44	0.00042034	0.001	0.47886	0.045624
E4T45	45	0.00032246	0.001	0.49355	0.044665
E4T46	46	0.00024742	0.001	0.50783	0.043736
E4T47	47	0.00018988	0.001	0.5217	0.042835
E4T48	48	0.00014575	0.001	0.53518	0.041959
E4T49	49	0.0001119	0.001	0.54828	0.041109
E4T50	50	8.5921e-05	0.001	0.56101	0.040283
E4T51	51	6.5989e-05	0.001	0.57338	0.039479
E4T52	52	5.069e-05	0.001	0.5854	0.038697
E4T53	53	3.8945e-05	0.001	0.59708	0.037935
E4T54	54	2.9927e-05	0.001	0.60843	0.037193
E4T55	55	2.3002e-05	0.001	0.61946	0.03647
E4T56	56	1.7682e-05	0.001	0.63017	0.035764
E4T57	57	1.3595e-05	0.001	0.64059	0.035076
E4T58	58	1.0455e-05	0.001	0.65071	0.034404
E4T59	59	8.0411e-06	0.001	0.66054	0.033747
E4T60	60	6.1859e-06	0.001	0.6701	0.033106
E4T61	61	4.7596e-06	0.001	0.67939	0.032478
E4T62	62	3.6628e-06	0.001	0.68841	0.031865
E4T63	63	2.8192e-06	0.001	0.69718	0.031264
E4T64	64	2.1703e-06	0.001	0.7057	0.030677
E4T65	65	1.6711e-06	0.001	0.71399	0.030101
E4T66	66	1.2869e-06	0.001	0.72203	0.029538
E4T67	67	9.9124e-07	0.001	0.72985	0.028985
E4T68	68	7.6363e-07	0.001	0.73745	0.028444
E4T69	69	5.8838e-07	0.001	0.74484	0.027914
E4T70	70	4.5343e-07	0.001	0.75202	0.027393
E4T71	71	3.495e-07	0.001	0.75899	0.026883
E4T72	72	2.6943e-07	0.001	0.76577	0.026382
E4T73	73	2.0774e-07	0.001	0.77235	0.025891
E4T74	74	1.6021e-07	0.001	0.77876	0.025408
E4T75	75	1.2357e-07	0.001	0.78498	0.024935
E4T76	76	9.5325e-08	0.001	0.79102	0.02447
E4T77	77	7.355e-08	0.001	0.79689	0.024014
E4T78	78	5.6758e-08	0.001	0.8026	0.023566
E4T79	79	4.3807e-08	0.001	0.80815	0.023125
E4T80	80	3.3817e-08	0.001	0.81354	0.022693
E4T81	81	2.611e-08	0.001	0.81878	0.022268
E4T82	82	2.0162e-08	0.001	0.82387	0.02185
E4T83	83	1.5572e-08	0.001	0.82882	0.02144
E4T84	84	1.2029e-08	0.001	0.83363	0.021037
E4T85	85	9.2937e-09	0.001	0.8383	0.020641
E4T86	86	7.1814e-09	0.001	0.84284	0.020251
E4T87	87	5.5502e-09	0.001	0.84726	0.019869
E4T88	88	4.2901e-09	0.001	0.85155	0.019493
E4T89	89	3.3167e-09	0.001	0.85572	0.019123
E4T90	90	2.5646e-09	0.001	0.85977	0.01876
E4T91	91	1.9833e-09	0.001	0.8637	0.018402
E4T92	92	1.534e-09	0.001	0.86753	0.018051
E4T93	93	1.1867e-09	0.001	0.87125	0.017706
E4T94	94	9.182e-10	0.001	0.87486	0.017367
E4T95	95	7.1054e-10	0.001	0.87837	0.017034
E4T96	96	5.4994e-10	0.001	0.88179	0.016706
E4T97	97	4.257e-10	0.001	0.8851	0.016384
E4T98	98	3.2958e-10	0.001	0.88833	0.016067
E4T99	99	2.5521e-10	0.001	0.89146	0.015756
E4T100	100	1.9765e-10	0.001	0.8945	0.015451
	101	1.5309e-10	0.001	0.89746	0.01515
	102	1.186e-10	0.001	0.90034	0.014855
	103	9.1893e-11	0.001	0.90313	0.014565
	104	7.1212e-11	0.001	0.90585	0.014279
	105	5.5193e-11	0.001	0.90849	0.013999
	106	4.2784e-11	0.001	0.91105	0.013724
	107	3.317e-11	0.001	0.91355	0.013453
	108	2.5721e-11	0.001	0.91597	0.013187
	109	1.9947e-11	0.001	0.91833	0.012926
	110	1.5472e-11	0.001	0.92062	0.01267
	111	1.2003e-11	0.001	0.92284	0.012418
	112	9.3126e-12	0.001	0.925	0.01217
	113	7.2266e-12	0.001	0.9271	0.011927
	114	5.6087e-12	0.001	0.92915	0.011688
	115	4.3536e-12	0.001	0.93113	0.011454
	116	3.3799e-12	0.001	0.93306	0.011223
	117	2.6244e-12	0.001	0.93493	0.010997
	118	2.038e-12	0.001	0.93676	0.010775
	119	1.5829e-12	0.001	0.93853	0.010557
	120	1.2296e-12	0.001	0.94025	0.010343
	121	9.5533e-13	0.001	0.94192	0.010132
	122	7.4233e-13	0.001	0.94355	0.0099259
	123	5.769e-13	0.001	0.94513	0.0097233
	124	4.484e-13	0.001	0.94666	0.0095244
	125	3.4858e-13	0.001	0.94816	0.0093291
	126	2.7102e-13	0.001	0.94961	0.0091375
	127	2.1074e-13	0.001	0.95102	0.0089494
	128	1.639e-13	0.001	0.95239	0.0087649
	129	1.2748e-13	0.001	0.95372	0.0085837
	130	9.9175e-14	0.001	0.95501	0.008406
	131	7.7163e-14	0.001	0.95627	0.0082316
	132	6.0045e-14	0.001	0.9575	0.0080605
	133	4.6732e-14	0.001	0.95868	0.0078927
	134	3.6376e-14	0.001	0.95984	0.007728
	135	2.8319e-14	0.001	0.96096	0.0075665
	136	2.205e-14	0.001	0.96205	0.007408
	137	1.7171e-14	0.001	0.96312	0.0072526
	138	1.3374e-14	0.001	0.96415	0.0071001
	139	1.0419e-14	0.001	0.96515	0.0069506
	140	8.1181e-15	0.001	0.96612	0.006804
	141	6.3262e-15	0.001	0.96707	0.0066603
	142	4.9312e-15	0.001	0.96799	0.0065193
	143	3.8447e-15	0.001	0.96888	0.006381
	144	2.9981e-15	0.001	0.96975	0.0062455
	145	2.3382e-15	0.001	0.9706	0.0061126
	146	1.8241e-15	0.001	0.97142	0.0059824
	147	1.4232e-15	0.001	0.97222	0.0058547
	148	1.1109e-15	0.001	0.97299	0.0057295
	149	8.6672e-16	0.001	0.97375	0.0056068
	150	6.7631e-16	0.001	0.97448	0.0054865
