!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E9'  TableTitle=''  Document='MGluR'		
!TimePoint	!Time	>Y7	SD_Y7
E9T0	0	0	0.01
E9T1	0.4	0	0.01
E9T2	0.8	0	0.01
E9T3	1.2	0	0.01
E9T4	1.6	0	0.01
E9T5	2	0	0.01
E9T6	2.4	0	0.01
E9T7	2.8	0	0.01
E9T8	3.2	0	0.01
E9T9	3.6	0	0.01
E9T10	4	0	0.01
E9T11	4.4	0	0.01
E9T12	4.8	0	0.01
E9T13	5.2	0.072186	0.18251
E9T14	5.6	0.36864	0.32423
E9T15	6	0.54464	0.31236
E9T16	6.4	0.62695	0.29098
E9T17	6.8	0.68644	0.27483
E9T18	7.2	0.73356	0.2619
E9T19	7.6	0.77208	0.25132
E9T20	8	0.8042	0.24257
E9T21	8.4	0.83138	0.23529
E9T22	8.8	0.85463	0.22921
E9T23	9.2	0.8747	0.22413
E9T24	9.6	0.89215	0.21988
E9T25	10	0.90741	0.21633
E9T26	10.4	0.92082	0.21335
E9T27	10.8	0.93268	0.21087
E9T28	11.2	0.94318	0.20879
E9T29	11.6	0.95254	0.20706
E9T30	12	0.96089	0.20562
E9T31	12.4	0.96837	0.20442
E9T32	12.8	0.97508	0.20342
E9T33	13.2	0.98112	0.2026
E9T34	13.6	0.98657	0.20193
E9T35	14	0.99149	0.20137
E9T36	14.4	0.99595	0.20092
E9T37	14.8	1	0.20055
E9T38	15.2	0.96469	0.23522
E9T39	15.6	0.70385	0.32334
E9T40	16	0.61893	0.30515
E9T41	16.4	0.55999	0.28919
E9T42	16.8	0.51141	0.27513
E9T43	17.2	0.46997	0.26234
E9T44	17.6	0.4339	0.25053
E9T45	18	0.40206	0.23953
E9T46	18.4	0.37367	0.22922
E9T47	18.8	0.34816	0.21952
E9T48	19.2	0.32509	0.21038
E9T49	19.6	0.30412	0.20173
E9T50	20	0.28498	0.19354
E9T51	20.4	0.26745	0.18577
E9T52	20.8	0.25133	0.1784
E9T53	21.2	0.23647	0.17138
E9T54	21.6	0.22275	0.1647
E9T55	22	0.21003	0.15834
E9T56	22.4	0.19823	0.15227
E9T57	22.8	0.18726	0.14649
E9T58	23.2	0.17705	0.14096
E9T59	23.6	0.16752	0.13569
E9T60	24	0.15862	0.13065
E9T61	24.4	0.1503	0.12583
E9T62	24.8	0.1425	0.12121
E9T63	25.2	0.13519	0.1168
E9T64	25.6	0.12834	0.11257
E9T65	26	0.12189	0.10853
E9T66	26.4	0.11584	0.10465
E9T67	26.8	0.11014	0.10093
E9T68	27.2	0.10477	0.09736
E9T69	27.6	0.099703	0.093938
E9T70	28	0.094928	0.090655
E9T71	28.4	0.090419	0.087504
E9T72	28.8	0.08616	0.084478
E9T73	29.2	0.082134	0.081572
E9T74	29.6	0.078325	0.078779
E9T75	30	0.07472	0.076096
E9T76	30.4	0.071306	0.073517
E9T77	30.8	0.068072	0.071037
E9T78	31.2	0.065006	0.068652
E9T79	31.6	0.062098	0.066357
E9T80	32	0.059338	0.064149
E9T81	32.4	0.056718	0.062025
E9T82	32.8	0.054229	0.059979
E9T83	33.2	0.051865	0.05801
E9T84	33.6	0.049617	0.056113
E9T85	34	0.047479	0.054286
E9T86	34.4	0.045446	0.052526
E9T87	34.8	0.04351	0.05083
E9T88	35.2	0.041667	0.049195
E9T89	35.6	0.039912	0.047619
E9T90	36	0.03824	0.046099
E9T91	36.4	0.036647	0.044634
E9T92	36.8	0.035127	0.04322
E9T93	37.2	0.033678	0.041857
E9T94	37.6	0.032296	0.040541
E9T95	38	0.030977	0.039271
E9T96	38.4	0.029718	0.038046
E9T97	38.8	0.028516	0.036863
E9T98	39.2	0.027368	0.035721
E9T99	39.6	0.026271	0.034618
E9T100	40	0.025223	0.033553
