!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E21'  TableTitle=''  Document='MGluR'										
!TimePoint	!Time	>Y10	SD_Y10								
E21T155	155	0.7024	0.30619								
E21T156	156	0.70394	0.30517								
E21T157	157	0.70547	0.30416								
E21T158	158	0.70699	0.30315								
E21T159	159	0.70849	0.30215								
E21T160	160	0.70998	0.30115								
E21T161	161	0.71146	0.30016								
E21T162	162	0.71293	0.29917								
E21T163	163	0.71439	0.29819								
E21T164	164	0.71584	0.29721								
E21T165	165	0.71728	0.29624								
E21T166	166	0.7187	0.29527								
E21T167	167	0.72012	0.29431								
E21T168	168	0.72152	0.29335								
E21T169	169	0.72291	0.2924								
E21T170	170	0.7243	0.29145								
E21T171	171	0.72567	0.29051								
E21T172	172	0.72703	0.28957								
E21T173	173	0.72838	0.28864								
E21T174	174	0.72972	0.28771								
E21T175	175	0.73106	0.28679								
E21T176	176	0.73238	0.28587								
E21T177	177	0.73369	0.28495								
E21T178	178	0.735	0.28404								
E21T179	179	0.73629	0.28314								
E21T180	180	0.73758	0.28223								
E21T181	181	0.73885	0.28134								
E21T182	182	0.74012	0.28044								
E21T183	183	0.74138	0.27955								
E21T184	184	0.74263	0.27867								
E21T185	185	0.74387	0.27779								
E21T186	186	0.7451	0.27691								
E21T187	187	0.74632	0.27604								
E21T188	188	0.74754	0.27517								
E21T189	189	0.74874	0.27431								
E21T190	190	0.74994	0.27345								
E21T191	191	0.75113	0.27259								
E21T192	192	0.75231	0.27174								
E21T193	193	0.75348	0.27089								
E21T194	194	0.75465	0.27005								
E21T195	195	0.75581	0.26921								
E21T196	196	0.75696	0.26837								
E21T197	197	0.7581	0.26754								
E21T198	198	0.75923	0.26671								
E21T199	199	0.76036	0.26588								
E21T200	200	0.76148	0.26506								
E21T201	201	0.76259	0.26424								
E21T202	202	0.76369	0.26343								
E21T203	203	0.76479	0.26262								
E21T204	204	0.76588	0.26181								
E21T205	205	0.76696	0.26101								
E21T206	206	0.76804	0.26021								
E21T207	207	0.76911	0.25941								
E21T208	208	0.77017	0.25862								
E21T209	209	0.77122	0.25783								
E21T210	210	0.77227	0.25705								
E21T211	211	0.77331	0.25626								
E21T212	212	0.77435	0.25548								
E21T213	213	0.77537	0.25471								
E21T214	214	0.7764	0.25394								
E21T215	215	0.77741	0.25317								
E21T216	216	0.77842	0.2524								
E21T217	217	0.77942	0.25164								
E21T218	218	0.78042	0.25088								
E21T219	219	0.78141	0.25012								
E21T220	220	0.78239	0.24937								
E21T221	221	0.78337	0.24862								
E21T222	222	0.78434	0.24788								
E21T223	223	0.7853	0.24713								
E21T224	224	0.78626	0.24639								
E21T225	225	0.78721	0.24566								
E21T226	226	0.78816	0.24492								
E21T227	227	0.7891	0.24419								
E21T228	228	0.79004	0.24346								
E21T229	229	0.79097	0.24274								
E21T230	230	0.79189	0.24202								
E21T231	231	0.79281	0.2413								
E21T232	232	0.79372	0.24058								
E21T233	233	0.79463	0.23987								
E21T234	234	0.79553	0.23916								
E21T235	235	0.79643	0.23845								
E21T236	236	0.79732	0.23775								
E21T237	237	0.79821	0.23705								
E21T238	238	0.79909	0.23635								
E21T239	239	0.79996	0.23566								
E21T240	240	0.80083	0.23496								
E21T241	241	0.8017	0.23427								
E21T242	242	0.80256	0.23359								
E21T243	243	0.80341	0.2329								
E21T244	244	0.80426	0.23222								
E21T245	245	0.80511	0.23154								
E21T246	246	0.80595	0.23087								
E21T247	247	0.80678	0.23019								
E21T248	248	0.80761	0.22952								
E21T249	249	0.80844	0.22885								
E21T250	250	0.80926	0.22819								
E21T251	251	0.81007	0.22753								
E21T252	252	0.81089	0.22687								
E21T253	253	0.81169	0.22621								
E21T254	254	0.81249	0.22555								
E21T255	255	0.81329	0.2249								
E21T256	256	0.81408	0.22425								
E21T257	257	0.81487	0.2236								
E21T258	258	0.81566	0.22296								
E21T259	259	0.81643	0.22232								
E21T260	260	0.81721	0.22168								
E21T261	261	0.81798	0.22104								
E21T262	262	0.81875	0.22041								
E21T263	263	0.81951	0.21977								
E21T264	264	0.82026	0.21914								
E21T265	265	0.82102	0.21852								
E21T266	266	0.82177	0.21789								
E21T267	267	0.82251	0.21727								
E21T268	268	0.82325	0.21665								
E21T269	269	0.82399	0.21603								
E21T270	270	0.82472	0.21542								
E21T271	271	0.82545	0.2148								
E21T272	272	0.82617	0.21419								
E21T273	273	0.82689	0.21358								
E21T274	274	0.82761	0.21298								
E21T275	275	0.82832	0.21237								
E21T276	276	0.82903	0.21177								
E21T277	277	0.82974	0.21117								
E21T278	278	0.83044	0.21058								
E21T279	279	0.83114	0.20998								
E21T280	280	0.83183	0.20939								
E21T281	281	0.83252	0.2088								
E21T282	282	0.8332	0.20821								
E21T283	283	0.83389	0.20763								
E21T284	284	0.83456	0.20704								
E21T285	285	0.83524	0.20646								
E21T286	286	0.83591	0.20588								
E21T287	287	0.83658	0.2053								
E21T288	288	0.83724	0.20473								
E21T289	289	0.8379	0.20416								
E21T290	290	0.83856	0.20358								
E21T291	291	0.83921	0.20302								
E21T292	292	0.83986	0.20245								
E21T293	293	0.84051	0.20188								
E21T294	294	0.84115	0.20132								
E21T295	295	0.84179	0.20076								
E21T296	296	0.84243	0.2002								
E21T297	297	0.84306	0.19965								
E21T298	298	0.84369	0.19909								
E21T299	299	0.84432	0.19854								
E21T300	300	0.84494	0.19799								
E21T301	301	0.84556	0.19744								
E21T302	302	0.84618	0.19689								
E21T303	303	0.84679	0.19635								
E21T304	304	0.8474	0.19581								
E21T305	305	0.84801	0.19527								
E21T306	306	0.84861	0.19473								
E21T307	307	0.84921	0.19419								
E21T308	308	0.84981	0.19366								
E21T309	309	0.85041	0.19313								
E21T310	310	0.851	0.19259								
E21T311	311	0.85159	0.19207								
E21T312	312	0.85217	0.19154								
E21T313	313	0.85276	0.19101								
E21T314	314	0.85334	0.19049								
E21T315	315	0.85391	0.18997								
E21T316	316	0.85449	0.18945								
E21T317	317	0.85506	0.18893								
E21T318	318	0.85562	0.18842								
E21T319	319	0.85619	0.1879								
E21T320	320	0.85675	0.18739								
E21T321	321	0.85731	0.18688								
E21T322	322	0.85787	0.18637								
E21T323	323	0.85842	0.18586								
E21T324	324	0.85897	0.18536								
E21T325	325	0.85952	0.18485								
E21T326	326	0.86007	0.18435								
E21T327	327	0.86061	0.18385								
E21T328	328	0.86115	0.18335								
E21T329	329	0.86169	0.18286								
E21T330	330	0.86222	0.18236								
E21T331	331	0.86276	0.18187								
E21T332	332	0.86328	0.18138								
E21T333	333	0.86381	0.18089								
E21T334	334	0.86434	0.1804								
E21T335	335	0.86486	0.17992								
E21T336	336	0.86538	0.17943								
E21T337	337	0.86589	0.17895								
E21T338	338	0.86641	0.17847								
E21T339	339	0.86692	0.17799								
E21T340	340	0.86743	0.17751								
E21T341	341	0.86794	0.17703								
E21T342	342	0.86844	0.17656								
E21T343	343	0.86894	0.17609								
E21T344	344	0.86944	0.17562								
E21T345	345	0.86994	0.17515								
E21T346	346	0.87043	0.17468								
E21T347	347	0.87092	0.17421								
E21T348	348	0.87141	0.17375								
E21T349	349	0.8719	0.17328								
E21T350	350	0.87239	0.17282								
