!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E10'  TableTitle=''  Document='MGluR'		
!TimePoint	!Time	>Y7	SD_Y7
E10T0	0	0	0.05
E10T1	0.1	0	0.05
E10T2	0.2	0	0.05
E10T3	0.3	0	0.05
E10T4	0.4	0	0.05
E10T5	0.5	0	0.05
E10T6	0.6	0	0.05
E10T7	0.7	0	0.05
E10T8	0.8	0	0.05
E10T9	0.9	0	0.05
E10T10	1	0	0.05
E10T11	1.1	0	0.05
E10T12	1.2	0	0.05
E10T13	1.3	0	0.05
E10T14	1.4	0	0.05
E10T15	1.5	0	0.05
E10T16	1.6	0	0.05
E10T17	1.7	0	0.05
E10T18	1.8	0	0.05
E10T19	1.9	0	0.05
E10T20	2	0	0.05
E10T21	2.1	0	0.05
E10T22	2.2	0	0.05
E10T23	2.3	0	0.05
E10T24	2.4	0	0.05
E10T25	2.5	0	0.05
E10T26	2.6	0	0.05
E10T27	2.7	0	0.05
E10T28	2.8	0	0.05
E10T29	2.9	0	0.05
E10T30	3	0	0.05
E10T31	3.1	0	0.05
E10T32	3.2	0	0.05
E10T33	3.3	0	0.05
E10T34	3.4	0	0.05
E10T35	3.5	0	0.05
E10T36	3.6	0	0.05
E10T37	3.7	0	0.05
E10T38	3.8	0	0.05
E10T39	3.9	0	0.05
E10T40	4	0	0.05
E10T41	4.1	0	0.05
E10T42	4.2	0	0.05
E10T43	4.3	0	0.05
E10T44	4.4	0	0.05
E10T45	4.5	0	0.05
E10T46	4.6	0	0.05
E10T47	4.7	0	0.05
E10T48	4.8	0	0.05
E10T49	4.9	0	0.05
E10T50	30	0	0.05
E10T51	30.1	0	0.05
E10T52	30.2	0	0.05
E10T53	30.3	0	0.05
E10T54	30.4	0	0.05
E10T55	30.5	0	0.05
E10T56	30.6	0	0.05
E10T57	30.7	0	0.05
E10T58	30.8	0	0.05
E10T59	30.9	0	0.05
E10T60	31	0	0.05
E10T61	31.1	0	0.05
E10T62	31.2	0	0.05
E10T63	31.3	0	0.05
E10T64	31.4	0	0.05
E10T65	31.5	0	0.05
E10T66	31.6	0	0.05
E10T67	31.7	0	0.05
E10T68	31.8	0	0.05
E10T69	31.9	0	0.05
E10T70	32	0	0.05
E10T71	32.1	0	0.05
E10T72	32.2	0	0.05
E10T73	32.3	0	0.05
E10T74	32.4	0	0.05
E10T75	32.5	0	0.05
E10T76	32.6	0	0.05
E10T77	32.7	0	0.05
E10T78	32.8	0	0.05
E10T79	32.9	0	0.05
E10T80	33	0	0.05
E10T81	33.1	0	0.05
E10T82	33.2	0	0.05
E10T83	33.3	0	0.05
E10T84	33.4	0	0.05
E10T85	33.5	0	0.05
E10T86	33.6	0	0.05
E10T87	33.7	0	0.05
E10T88	33.8	0	0.05
E10T89	33.9	0	0.05
E10T90	34	0	0.05
E10T91	34.1	0	0.05
E10T92	34.2	0	0.05
E10T93	34.3	0	0.05
E10T94	34.4	0	0.05
E10T95	34.5	0	0.05
E10T96	34.6	0	0.05
E10T97	34.7	0	0.05
E10T98	34.8	0	0.05
E10T99	34.9	0	0.05
E10T100	60	0.26473	0.05
E10T101	60.1	0.26473	0.05
E10T102	60.2	0.26473	0.05
E10T103	60.3	0.26473	0.05
E10T104	60.4	0.26473	0.05
E10T105	60.5	0.26473	0.05
E10T106	60.6	0.26473	0.05
E10T107	60.7	0.26473	0.05
E10T108	60.8	0.26473	0.05
E10T109	60.9	0.26473	0.05
E10T110	61	0.26473	0.05
E10T111	61.1	0.26473	0.05
E10T112	61.2	0.26473	0.05
E10T113	61.3	0.26473	0.05
E10T114	61.4	0.26473	0.05
E10T115	61.5	0.26473	0.05
E10T116	61.6	0.26473	0.05
