!!SBtab	SBtabVersion='1.0' TableType='QuantityMatrix' TableName='E14I' 'TableTitle='' Document='MGLuRd'
!Input_Time_S0	>S23
5	1
105	10
205	100
405	1000
605	10000
805	50000
